Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911722 Radio Lifecycle Program 2025,911722 Programme de cycle de vie des appareils radio 2025," 2,200 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911723 Technology Systems Security 2025,911723 Systèmes technologiques Sécurité 2025, 850 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911725 Transit 5yr Roadmap Comms/Marketing 2025,911725 Communications/marketing - Feuille de route quinquennale des Services de transport en commun 2025, 600 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911726 Customer Communications Program 2025,911726 Programme de communications avec les clients 2025," 1,200 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911727 Contractual LC Payment (O-Train L1)2025,911727 Paiements contractuels pendant le cycle de vie (Ligne 1 de l'O-Train) 2025," 6,340 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911729 Train and Rail Lifecycle and Mod. 2025,911729 Cycle de vie des trains et des voies ferrées et modifications 2025," 2,000 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911730 Operations Support Vehicles-Growth 2025,911730 Véhicules de soutien des Opérations de transport en commun - Croissance 2025, 600 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911731 Minibus Replacement (Para) 2025,911731 Remplacement des minibus (Para) 2025 ," 1,400 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911733 Zero Emissions Bus Program Phase 2 2025,911733 Programme des autobus à émission zéro - Étape 2 2025," 1,500 ",Capital, Yes - Major Contribution ,Oui - Contribution majeure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911734 Bus Replacement 2025,911734 Remplacement d’autobus 2025 ," 75,170 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911735 Detour Hours O-Train Stg 2 2025,911735 Heures de détour - O-Train Étape 2 2025," 8,100 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911736 Strategic Reviews Program 2025,911736 Programme d'examens stratégiques 2025," 1,000 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911737 Special Constable Program 2025,911737 Programme des constables spéciaux 2025, 735 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911738 Lees Ave Environmental Program 2025,911738 Programme environnemental de l'av. Lees 2025," 1,545 ",Capital, No ,Non,0, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911740 O-Train Telecommunications Impro. 2025,911740 Améliorations apportées aux télécommunications de l'O-Train 2025," 1,050 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911741 Customer Service Program 2025,911741 Programme de service à la clientèle 2025," 2,890 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911742 O Train Cybersecurity 2025,911742 Cybersécurité de l’O-Train 2025 ," 1,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911743 Engineering lC and System Modi. 2025,911743 Cycle de vie de l'ingénierie et modifications du système 2025," 1,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911744 Station Customer Improvements 2025,911744 Améliorations pour la clientèle dans les stations 2025," 4,435 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911745 Station Customer Information 2025,911745 Information pour la clientèle dans les stations 2025," 1,275 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911747 Bus Stops and Shelters 2025,911747 Arrêts d'autobus et abribus 2025, 750 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911748 Stage 2 Bus Facility Projects,911748 Projets d'installations d'autobus de l'Étape 2," 6,500 ",Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911749 Transit Priority Road&Signals Proj 2025,911749 Projets prioritaires de transport en commun - Routes et signalisation 2025," 2,250 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911750 Transit Materials Management Impro. 2025,911750 Améliorations de la gestion du matériel de transport en commun 2025, 650 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911751 Bus Refurbishment 2025,911751 Remise en état des autobus 2025," 12,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911752 Transit Facility Upgrades 2025,911752 Modernisation des installations de transport en commun 2025," 1,500 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911753 Operations Support Vehicles-Replace2025,911753 Véhicules de soutien des Opérations de transport en commun - Remplacement 2025," 2,800 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911754 Bus Refurbishment (Para) 2025,911754 Remise en état des autobus (Para) 2025 , 250 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
